filename,renjiao_hint,content_type,old_manifest,topic_keywords
30岁啦！_68cac7ea000000001203c5a7.txt,无年级前缀,其他,keep-34grade,30岁啦！
shunshun_6a12c11d.txt,无年级前缀,vlog生活,未分类,shunshun
一个九位数，各数位上的数字和是15，其中万位上的数是亿位数的2倍，这个数最大是多_6702042d000000001a023585.txt,无年级前缀,其他,keep-34grade,一个九位数，各数位上的数字和是15，其中万位上的数是亿位数的2倍，这个数最大是多
一个九位数，各数位数字之和是211，这个数最大是多少？最小是多少？(之前讲过一道_67086241000000001902f2cc.txt,无年级前缀,其他,keep-34grade,一个九位数，各数位数字之和是211，这个数最大是多少？最小是多少？(之前讲过一道
一个八位数，它由四个5和四个0组成，并且它的万位上是5，读数时要读出三个0，这个_66ee2e3a000000001e01af76.txt,无年级前缀,其他,keep-34grade,一个八位数，它由四个5和四个0组成，并且它的万位上是5，读数时要读出三个0，这个
一个数由1、2、3、4、5、6、7、8、9这九个数字组成，四舍五入后约等于9亿，_66f802b9000000001a02027e.txt,无年级前缀,其他,keep-34grade,一个数由1、2、3、4、5、6、7、8、9这九个数字组成，四舍五入后约等于9亿，
一个数，用“四舍五入”法省略亿位后面的尾数约是10亿，这个数最大是？最小？#小学_66fd4bf2000000001b023777.txt,无年级前缀,教学,keep-34grade,一个数，用“四舍五入”法省略亿位后面的尾数约是10亿，这个数最大是？最小？
一个数，省略万位后面的尾数约是500万，这个数最大是多少？最小是多少？#小学数学_66f5685e000000001b0221d2.txt,无年级前缀,教学,keep-34grade,一个数，省略万位后面的尾数约是500万，这个数最大是多少？最小是多少？
一块长方形菜地，如果它的长增加4千米，面积就增加24平方千米，如果它的宽增加5千_670fc5f20000000021005b04.txt,无年级前缀,教学,keep-34grade,一块长方形菜地，如果它的长增加4千米，面积就增加24平方千米，如果它的宽增加5千
三下思维题_积可能是？？？有的时候选对方向方法比努力更重要。(这几天我会陆续整理_66d3e2fe000000001d01790a.txt,三下,其他,keep-34grade,三下思维题
三下课堂实录_搭配(拓展题)。乘积最大的算式？做题讲究解题技巧。_66ca93de000000001d03b537.txt,三下,思维拓展,keep-34grade,三下课堂实录
三角形的分类_680a0fbb000000001d0094a2.txt,无年级前缀,教学,keep-34grade,三角形的分类
三角形的面积拓展_699858de000000000a02db5a.txt,无年级前缀,教学,keep-34grade,三角形的面积拓展
与倍有关的问题解决。只是问题变了一点点，就变成了一道易错题了。#数学思维 #小学_66dee16700000000120120e1.txt,无年级前缀,思维拓展,keep-34grade,与倍有关的问题解决。只是问题变了一点点，就变成了一道易错题了。
与小数比较大小相关：A=B✖️0.89=C✖️1.11每天学习一点点 小学数学_68c6b507000000001c03c00c.txt,无年级前缀,教学,keep-34grade,与小数比较大小相关：A=B✖️0.89=C✖️1.11每天学习一点点 小学数学
与计算有关_除数是一位数的除法。这种题型考得比较多，新题型新考法。#小学数学 #_66dd959f0000000012013577.txt,无年级前缀,教学,keep-34grade,与计算有关
五上-一题多解_696f7072000000000b00acb2.txt,五上,其他,keep-5grade|reject,五上-一题多解
五上-三角形的高_693550ac000000001d03c4bc.txt,五上,教学,keep-5grade|reject,五上-三角形的高
五上-与“倍”有关的易错题_6943d1e5000000001d03a842.txt,五上,思维拓展,keep-5grade|reject,五上-与“倍”有关的易错题
五上-与三角形、梯形有关的判断题_693fd6ce000000001e013587.txt,五上,教学,keep-5grade|reject,五上-与三角形、梯形有关的判断题
五上-与平行四边形有关的判断题_693fd688000000001d0390da.txt,五上,教学,keep-5grade|reject,五上-与平行四边形有关的判断题
五上-两边都有未知数的方程_691f1e0f000000001e005a56.txt,五上,教学,keep-5grade|reject,五上-两边都有未知数的方程
五上-临近期末的思想教育_696f71360000000009039c3c.txt,五上,其他,reject,五上-临近期末的思想教育
五上-从公式出发，配合假设法_694a78b7000000001d03a480.txt,五上,其他,keep-5grade|reject,五上-从公式出发，配合假设法
五上-估算解决问题_68cac8b0000000001201e4ef.txt,五上,教学,keep-5grade|reject,五上-估算解决问题
五上-作辅助线求面积_6943d182000000001d03a5c6.txt,五上,教学,keep-5grade|reject,五上-作辅助线求面积
五上-分段计费变式_68e37086000000000700f0d4.txt,五上,其他,keep-5grade|keep-6grade|reject,五上-分段计费变式
五上-列方程解决倍数问题_69299c45000000001d03b43a.txt,五上,教学,keep-5grade|keep-6grade|reject,五上-列方程解决倍数问题
五上-列方程解决行程问题_692d7c5d000000001e00a323.txt,五上,教学,keep-5grade|keep-6grade|reject,五上-列方程解决行程问题
五上-列方程解决问题_691f1e53000000001e012e7c.txt,五上,教学,keep-5grade|reject,五上-列方程解决问题
五上-列方程解决问题_69299cf0000000001e008a08.txt,五上,教学,keep-5grade|reject,五上-列方程解决问题
五上-列方程解盈亏问题_69299e61000000001e0168f1.txt,五上,教学,keep-5grade|reject,五上-列方程解盈亏问题
五上-列方程解鸡兔同笼_69299de7000000001e008f8b.txt,五上,教学,keep-5grade|reject,五上-列方程解鸡兔同笼
五上-判断是否是方程_6915d451000000000703249b.txt,五上,教学,keep-5grade|reject,五上-判断是否是方程
五上-割补法_694a7972000000001e014264.txt,五上,其他,keep-5grade|reject,五上-割补法
五上-可能性_68ff885f000000000700ed0d.txt,五上,其他,keep-5grade|reject,五上-可能性
五上-含有字母的式子_6915d4190000000007009b81.txt,五上,其他,keep-5grade|reject,五上-含有字母的式子
五上-对折问题_68fa356400000000070377f0.txt,五上,其他,keep-5grade|reject,五上-对折问题
五上-小数乘小数_68bfd78b000000001c03d96b.txt,五上,教学,keep-5grade|reject,五上-小数乘小数
五上-小数乘整数_68b96df1000000001d012ddb.txt,五上,教学,keep-5grade|reject,五上-小数乘整数
五上-小数乘法与周期问题_68bfd7ea000000001d0089ec.txt,五上,教学,keep-5grade|reject,五上-小数乘法与周期问题
五上-小数的简便计算_68cac8560000000013008b6f.txt,五上,教学,keep-5grade|reject,五上-小数的简便计算
五上-小数除法中的余数_68fa34e8000000000700dee3.txt,五上,教学,keep-5grade|reject,五上-小数除法中的余数
五上-平均_68f23cfe000000000701742d.txt,五上,其他,keep-5grade|reject,五上-平均
五上-平行四边形的面积_69369f11000000001e002af3.txt,五上,教学,keep-5grade|reject,五上-平行四边形的面积
五上-平行四边形的面积_69382f93000000001e00ff04.txt,五上,教学,keep-5grade|reject,五上-平行四边形的面积
五上-年龄差问题_69299c96000000001e015e3a.txt,五上,其他,keep-5grade|reject,五上-年龄差问题
五上-循环小数_68f23d9f0000000007022adf.txt,五上,教学,keep-5grade|reject,五上-循环小数
五上-循环小数_68f4a6a8000000000703814e.txt,五上,教学,keep-5grade|reject,五上-循环小数
五上-思考题_696cf636000000000903ad87.txt,五上,其他,keep-5grade|reject,五上-思考题
五上-找底边对应的高_693166c8000000001e001144.txt,五上,其他,keep-5grade|reject,五上-找底边对应的高
五上-找规律_695cee770000000009038c8f.txt,五上,其他,keep-5grade|reject,五上-找规律
五上-抓住不变量解决问题_68e09bdb000000000700c92a.txt,五上,教学,keep-5grade|keep-6grade|reject,五上-抓住不变量解决问题
五上-抽签_68ff87bd0000000007021418.txt,五上,其他,keep-5grade|reject,五上-抽签
五上-拉窗帘模型_69454d0b000000001e007d60.txt,五上,其他,keep-5grade|keep-6grade|reject,五上-拉窗帘模型
五上-探究三角形面积的计算公式_69316733000000001e0013b8.txt,五上,教学,keep-5grade|reject,五上-探究三角形面积的计算公式
五上-探究平行四边形面积的计算公式_692d7ce1000000001e001f13.txt,五上,教学,keep-5grade|reject,五上-探究平行四边形面积的计算公式
五上-探究梯形的面积计算公式_693acbe1000000001e0084ee.txt,五上,教学,keep-5grade|reject,五上-探究梯形的面积计算公式
五上-数对练习_68d3d3e7000000001201c753.txt,五上,其他,keep-5grade|reject,五上-数对练习
五上-数感_69633211000000000903a91b.txt,五上,其他,keep-5grade|reject,五上-数感
五上-新考法数感_68da894a000000001300b757.txt,五上,其他,keep-5grade|reject,五上-新考法数感
五上-易错判断题_6915d54c0000000007032a67.txt,五上,其他,keep-5grade|reject,五上-易错判断题
五上-易错简便计算_695cedf2000000000a02ac2f.txt,五上,教学,keep-5grade|reject,五上-易错简便计算
五上-易错题_68d3d467000000001201ca40.txt,五上,思维拓展,keep-5grade|reject,五上-易错题
五上-易错题_68da89dd0000000012031f65.txt,五上,思维拓展,keep-5grade|reject,五上-易错题
五上-易错题_6904ba460000000007033c43.txt,五上,思维拓展,keep-5grade|reject,五上-易错题
五上-易错题_6908c0e400000000070340aa.txt,五上,思维拓展,keep-5grade|reject,五上-易错题
五上-易错题_6912b2d9000000000703b3be.txt,五上,思维拓展,keep-5grade|reject,五上-易错题
五上-易错题_694a79c2000000001e00658a.txt,五上,思维拓展,keep-5grade|reject,五上-易错题
五上-易错题_696cf6b0000000000a032ea1.txt,五上,思维拓展,keep-5grade|reject,五上-易错题
五上-有括号的方程_691f1de5000000001e005948.txt,五上,教学,keep-5grade|reject,五上-有括号的方程
五上-期末注意⚠️易错题_6978ded70000000009038056.txt,五上,期末复习|思维拓展,keep-5grade|reject,五上-期末注意⚠️易错题
五上-期末考前思考题：两个全程。_6978df46000000000a030264.txt,五上,期末复习,keep-5grade|reject,五上-期末考前思考题：两个全程。
